,Name,Platform,Genre,Publisher
0,Wii Sports,Wii,Sports,Nintendo
1,Super Mario Bros.,NES,Platform,Nintendo
2,Mario Kart Wii,Wii,Racing,Nintendo
3,Wii Sports Resort,Wii,Sports,Nintendo
4,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo
5,Tetris,GB,Puzzle,Nintendo
6,New Super Mario Bros.,DS,Platform,Nintendo
7,Wii Play,Wii,Misc,Nintendo
8,New Super Mario Bros. Wii,Wii,Platform,Nintendo
9,Duck Hunt,NES,Shooter,Nintendo
10,Nintendogs,DS,Simulation,Nintendo
11,Mario Kart DS,DS,Racing,Nintendo
12,Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo
13,Wii Fit,Wii,Sports,Nintendo
14,Kinect Adventures!,X360,Misc,Microsoft Game Studios
15,Wii Fit Plus,Wii,Sports,Nintendo
16,Grand Theft Auto V,PS3,Action,Take-Two Interactive
17,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive
18,Super Mario World,SNES,Platform,Nintendo
19,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo
20,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo
21,Super Mario Land,GB,Platform,Nintendo
22,Super Mario Bros. 3,NES,Platform,Nintendo
23,Grand Theft Auto V,X360,Action,Take-Two Interactive
24,Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive
25,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,Nintendo
26,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo
27,Pokemon Black/Pokemon White,DS,Role-Playing,Nintendo
28,Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment
29,Call of Duty: Modern Warfare 3,X360,Shooter,Activision
30,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo
31,Call of Duty: Black Ops 3,PS4,Shooter,Activision
32,Call of Duty: Black Ops,X360,Shooter,Activision
33,Pokemon X/Pokemon Y,3DS,Role-Playing,Nintendo
34,Call of Duty: Black Ops II,PS3,Shooter,Activision
35,Call of Duty: Black Ops II,X360,Shooter,Activision
36,Call of Duty: Modern Warfare 2,X360,Shooter,Activision
37,Call of Duty: Modern Warfare 3,PS3,Shooter,Activision
38,Grand Theft Auto III,PS2,Action,Take-Two Interactive
39,Super Smash Bros. Brawl,Wii,Fighting,Nintendo
40,Mario Kart 7,3DS,Racing,Nintendo
41,Call of Duty: Black Ops,PS3,Shooter,Activision
42,Grand Theft Auto V,PS4,Action,Take-Two Interactive
43,Animal Crossing: Wild World,DS,Simulation,Nintendo
44,Halo 3,X360,Shooter,Microsoft Game Studios
45,Super Mario 64,N64,Platform,Nintendo
46,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,Nintendo
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,Nintendo
48,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment
49,Super Mario Galaxy,Wii,Platform,Nintendo
50,Super Mario Land 2: 6 Golden Coins,GB,Adventure,Nintendo
51,Grand Theft Auto IV,X360,Action,Take-Two Interactive
52,Gran Turismo,PS,Racing,Sony Computer Entertainment
53,Super Mario 3D Land,3DS,Platform,Nintendo
54,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment
55,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision
56,Super Mario All-Stars,SNES,Platform,Nintendo
